fdc_id,amount,measure_unit,modifier,gram_weight
167512,1.0,,serving,34.0
167513,1.0,,serving 1 roll with icing,44.0
167514,1.0,,serving,28.0
167515,1.0,,serving,57.0
167516,1.0,,"waffle, round",38.0
167516,1.0,,"waffle, square",39.0
167517,1.0,,"waffle round (4"" dia)",33.0
167517,1.0,,oz,28.0
167518,1.0,,waffle,35.0
167519,1.0,,"waffle, round (4""dia)",32.0
167520,1.0,,crust,183.0
167520,1.0,,oz,28.35
167521,1.0,,crust,182.0
167522,1.0,,pie,1137.0
167522,1.0,,oz,28.35
167522,0.12,,"pie 1 pie (1/8 of 9"" pie)",131.0
167522,1.0,,slice,137.0
167523,1.0,,pie crust (average weight),225.0
167524,2.0,,waffles,70.0
167525,1.0,,piece,12.3
167525,3.0,,"pieces (mean serving weight, aggregated over brands)",37.0
167526,1.0,,serving (approximate serving size),55.0
167526,1.0,,cake square (average weight of whole item),399.0
167527,1.0,,serving,55.0
167527,1.0,,cake square,622.0
167528,1.0,,piece,86.0
167529,1.0,,serving (1 NLEA serving - about 4 crackers),30.0
167529,1.0,,cracker,12.7
167530,11.0,,crackers (1 NLEA serving),31.0
167530,1.0,,cracker,3.1
167531,1.0,,cracker,3.1
167531,10.0,,crackers (1 NLEA serving),32.0
167532,1.0,,slice,28.0
167533,1.0,,bagel,98.0
167534,4.0,,oz,113.0
167535,1.0,,tortilla,49.0
167535,1.0,,package,484.0
167536,1.0,,"piece, large",20.0
167536,1.0,,oz,28.35
167536,1.0,,oz,28.35
167537,1.0,,oz,28.0
167537,1.0,,oz,28.35
167537,1.0,,bag (7 oz),198.0
167538,1.0,,bag (7 oz),198.0
167538,1.0,,oz,28.35
167539,1.0,,oz,28.35
167540,1.0,,oz,28.35
167540,1.0,,packet (.75 oz),21.0
167540,1.0,,package,27.0
167541,1.0,,small,14.0
167541,1.0,,large,21.0
167542,1.0,,bar,21.0
167542,1.0,,bar (1 oz),28.0
167542,1.0,,bar,25.0
167543,1.0,,oz,28.35
167543,1.0,,bar,24.0
167544,1.0,,bar (1 oz),28.0
167544,1.0,,bar (1.5 oz),43.0
167545,1.0,,bar (1.25 oz),35.0
167545,1.0,,bar (1 oz),28.0
167546,1.0,,serving,40.0
167547,1.0,,bar,37.0
167547,1.0,,oz,28.35
167548,1.0,,bar (1 oz),28.0
167549,1.0,,cup,11.0
167549,1.0,,oz,28.35
167550,2.0,,cakes,20.0
167550,1.0,,cake,10.0
167551,2.0,,oz,57.0
167551,1.0,,oz (approx 2/3 cup),28.35
167552,1.0,,oz,28.35
167553,1.0,,can (6 oz),170.0
167553,1.0,,oz,28.35
167554,1.0,,oz,28.35
167554,1.0,,can (6.75 oz),198.0
167555,1.0,,oz,28.35
167555,10.0,,twists,60.0
167556,1.0,,oz,28.35
167556,1.0,,pretzel,11.0
167557,2.0,,cakes,18.0
167557,1.0,,cake,9.0
167558,1.0,,bag,213.0
167558,1.0,,oz,28.35
167559,1.0,,oz,28.35
167560,1.0,,bag (7 oz),198.0
167560,1.0,,oz,28.35
167561,1.0,,cup,150.0
167561,1.5,,oz,42.0
167561,1.0,,oz,28.35
167562,1.0,,package 1.76 oz,49.0
167562,1.0,,bar snack size,19.0
167563,18.0,,pieces,40.0
167564,1.0,,serving 6 pieces,40.0
167565,1.0,,bar king size,108.0
167565,1.0,,cup BB's,174.0
167565,1.0,,bar bite size,7.0
167565,1.0,,serving 1 fun size bar 0.65 oz,18.0
167565,10.0,,Butterfinger BB's,26.0
167565,1.0,,serving 2.1 oz bar,60.0
167565,2.0,,tbsp,25.0
167565,1.0,,serving 0.75 oz bar,21.0
167566,1.0,,piece,6.6
